,medication,rate,comment,drug,illness
486,Entyvio (vedolizumab) for Crohn's Disease,8.0,"I was on Remicade for several years. I recently switched over to Entyvio. It seemed to be helping, but the benefits only lasted about 6 weeks. My Dr just added Methotrexate to help boost the effectiveness. So far seems to be working better than Remicade.

That said, everyone and every case is different. It comes down to you working with your doctor(s) to find the best plan for you. Don't give up, keep trying.",Entyvio (vedolizumab) , Crohn's Disease
487,Entyvio (vedolizumab) for Ulcerative Colitis,6.0,"Have been on vedolizimab for over 2 years now and it has been amazing at eliminating all gut-related symptoms (I have Ulcerative Colitis). But Over the 6 months or so though, I've been experiencing weird and horrendous neurological symptoms.  Tingling, crawling and burning as well pain and weakness. Seriously considering trying a new drug.",Entyvio (vedolizumab) , Ulcerative Colitis
488,Entyvio (vedolizumab) for Ulcerative Colitis,4.0,"I haven't been able to tolerate any drug during the 5 years I have been officially flaring and diagnosed with UC. Despite this I know I had this nasty thing for the past 20 years. To put it plainly, Humira worked for 2 months, then failed. Now Entyvio worked for 1 month maybe and seems to be placebo now. I oscillate between very bad bloating and constipation and then diarrhea. Since on Entyvio I am unable to sleep laying down from the pain, and I have no ability to form a normal stool - it's either Diarrhea or it's pencil thin or pebble like. I do not feel like this medicine works and is just another step in the long journey toward surgery. I hear how biologics help people but I remain unconvinced.",Entyvio (vedolizumab) , Ulcerative Colitis
489,Entyvio (vedolizumab) for Crohn's Disease,10.0,"I've been on Entyvio for aggressive Crohn's for 3.5 years and it has been great. It has erased my Crohn's symptoms completely. However, I want to switch to something that doesn't interfere with the immune systems as I have had Chronic Fatigue Syndrome for 4.5 years and can't exercise without getting sick for days. I think that there is a connection to biologics and CFS, which is my cause appears to be caused by the Epstein-barr virus. Lowered immune system, latent virus becomes activated etc.",Entyvio (vedolizumab) , Crohn's Disease
490,Entyvio (vedolizumab) for Crohn's Disease,10.0,"I've been on Entyvio now for nine months. Since I've been on the medicine I only experience Crohn's systems about once every week and a half in the evening around bed time. At that time I have diarrhea but after emptying, I feel fine.  I no longer am concerned about going out and eating or leaving the house and having an emergency with diarrhea; however,  for the last two weeks plus,  I've been fighting cold symptoms and although I maybe a little better,  I am beginning to wonder if I will ever get over the cold.  After reading the experiences of others, I am wondering if the Entyvio is complicating my recovery.",Entyvio (vedolizumab) , Crohn's Disease
491,Entyvio (vedolizumab) for Ulcerative Colitis,1.0,Developed UC and started Entyvio about 3 years ago.  Hair immediately started falling out.  Also severe sleeplessness and hot flashes.  Days of not sleeping or if I did it would only be for 2 or 3 hours.  Had 20 to 30 hot flashes a day in the last year I took it and they would last at least 4 to 5 minutes then I would get really cold.  My UC was completely under control but the side effects were more than I could tolerate.  Started Humira about 8 months ago but have already had 2 flares. Now I don't know why the Gastro doctor didn't start me on Humira instead of Entyvio.,Entyvio (vedolizumab) , Ulcerative Colitis
492,Entyvio (vedolizumab) for Crohn's Disease,9.0,"I have been on Entyvio for about a year and have had good results, although I did not see any reduction in pain until after the 4th infusion.  I was on Humria for 8 years before it stopped working at that point I stopped taking medications for 3 months - that was a mistake.  Was in pain all the time.  I do have some minor joint pain, but that could be just me aging.  I also have a lot of mucus in throat, but that may only be my lifelong struggle with bad allergies.  Everyone's body metabolites and reacts differently.  Some of reactions that people are having are listed as side effects and to contact dr immediately.  Overall I believe this drug is working for me, although I don't like putting it in my body and would like to try something more natural but I am afraid the pain will return.",Entyvio (vedolizumab) , Crohn's Disease
493,Entyvio (vedolizumab) for Ulcerative Colitis,7.0,"I started Entyvio for UC  as soon as it hit the market.  I became steroid resistant and just started Entyvio as my first biologic as it looked like it would have a better safety profile.   Has been great for my UC,  with no significant G.I. symptoms.  However, after about  2 years started having tremors on awakening and muscle fasciculations.  Not sure if from Entyvio or not.  Have stopped all other medications and had a  MRI, sleep study, EMG, nerve conduction tests.  ? Restless leg syndrome.  Neurologists so far do no think it is Parkinson’s or ALS.  Have had slight progression of symptoms for 2 plus years, but G.I. doctors nor the neurologists think it is related to the Entyvio and think I should continue using it.   However, I feel stupid for not trying to go off the medication and starting Remicaid or Humira for a year or 2 and see if symptoms resolve, although scared they my not work or lead to some other complications.",Entyvio (vedolizumab) , Ulcerative Colitis
494,Entyvio (vedolizumab) for Ulcerative Colitis,2.0,"I am a ulcerative colitis  (UC) patient and have a pouch. I was on remicade and recently switched over to Entyvio. I have only had two infusions so far and have also lost a LOT of hair. I couldn't tell if it was due to the Entyvio  or because I was flaring. I have had phases where I have lost hair. But nothing like this. Has anyone had this issue when they first started the drug and over time the hair has come back?

I have not noticed any improvement in my symptoms, hoping to see some changes once I get my third",Entyvio (vedolizumab) , Ulcerative Colitis
495,Entyvio (vedolizumab) for Ulcerative Colitis,1.0,Been using Entyvio for two years for Ulcerative colitis. It has not helped my UC. My doctor will not stop giving it to me even though it is doing nothing. Next appointment is next week and I plan to stop using it or find another doctor.,Entyvio (vedolizumab) , Ulcerative Colitis
496,Entyvio (vedolizumab) for Crohn's Disease,9.0,I was put on ENTYVIO after my colon was removed and J pouch surgery and still had symptoms involving the pouch and area just above the pouch. I have been on ENTYVIO for 6 years. I started at 8 week intervals but over the last 2 years have had to go from 8 weeks to 6 weeks now at 4 weeks do to symptoms returning before next dose. Testing showed that at 4 weeks the level of ENTYVIO in my system was far below the recommended level. I hope that it continues to work for me. I started on Remicade in 2005 when I was diagnosed with U. C. I was on it a few years but ended up failing completely to help symptoms. I was then put on Cimzia which I did not respond to at all. I then was put on Humira. I was on it till 2010 when thyroid cancer was found. After thyroid was removed I was put on ENTYVIO. Due to the cancer I can't have imuno modifier medications. From Oct 2010 till early March 2013 I was on oral medication. Azacol I think it was or I was on that prior to the colon surgery.,Entyvio (vedolizumab) , Crohn's Disease
497,Entyvio (vedolizumab) for Crohn's Disease,1.0,"I decided to discontinue after the 4th infusion.  Very expensive which might have been worth it had it improved diarrhea.  Instead with each infusion ulcers in my mouth flared worse (they were already there - Crohns in the mouth), severe fatigue, all over body pain, worsened sinus problems, weird tendon-like pain in hands & feet. all of which got worse and lasted longer which each subsequent infusion.  My last infusion's symptoms lasted for weeks!",Entyvio (vedolizumab) , Crohn's Disease
498,Entyvio (vedolizumab) for Crohn's Disease,9.0,"Very pleased with Entyvio. I've been in remission and the medication is working very well for me for the last 2.5 years. I do experience bad side effects that last about 24 hours after infusion including severe fatigue, headache, all over body pain. I have to say the pros outweigh the cons for me.",Entyvio (vedolizumab) , Crohn's Disease
499,Entyvio (vedolizumab) for Ulcerative Colitis,2.0,Been on now for 5 months. Symptoms returned 2 months in. Dr wants to give it a good try so I'm back on Cortiment and awaiting a scope that he only has time for in June. Lost a lot of hair which is somewhat devastating for a woman who wants to feel normal and keep disability invisible. Dizziness and muscle weakness to the point of gym workouts not recovering for days.  So now I'm torn bc if I stop the meds and he does a scope in June he could say well we don't know if it worked you didn't give it enough time. It's a mental drain always trying to fix yourself and I think most people here wouldn't buy a fancy car if they won  heaps of money but rather diagnostic equipment. If it was possible to see what's really going on in their bodies. The unknown sucks. Getting naturopathic medicine and support and trying ketogenic diet along with fodmap and medical marijuana to help cope with the depression. I hope it's enough to keep me off these meds,Entyvio (vedolizumab) , Ulcerative Colitis
500,Entyvio (vedolizumab) for Ulcerative Colitis,10.0,This my third medicine we have tried for my colitis I had a severe reaction too remicade after using it for two years. I then was put on cimizia which didn't work. I then was put on Humira  which didn't work. This medicine is my last resort and it has saved my life.,Entyvio (vedolizumab) , Ulcerative Colitis
501,Entyvio (vedolizumab) for Crohn's Disease,1.0,"I've suffered  from Crohn's for over 50 years. Experienced major flare-up in May 2017. Taken off current meds and prescribed 20 mgs of prednisone. Health improved immediately. Started tapering down until I was down to 5mg in March at which time started first injection of Entivyo. I am down to 1mg of predisone now. Have had two injections to date and scheduled for a third April, 2018 to be followed by another in June. I realize I have to give the biologic a chance to work but I have not noticed anything positive from the treatment to date. Always fatigued with low appetite and joint pain. Sometime I wonder if it wouldn't be in my best interest to simply go on prednisone and feel good for a few years. My GI is very optimistic regarding Entivyo so we will have to see what happens from here.",Entyvio (vedolizumab) , Crohn's Disease
502,Entyvio (vedolizumab) for Crohn's Disease,1.0,Entyvio never worked for me . I never had any joint pain so that was good but I had 7-8 doses until I changed to Xeljanz.  Entyvio gave me SEVERE fatigue and not so much on Xeljanz... also seeing improvement now.,Entyvio (vedolizumab) , Crohn's Disease
503,Entyvio (vedolizumab) for Crohn's Disease,8.0,"I have not been on it long enough. But it did control my diarrhea, not the pain. I was told because of my new diagnosis of Irritable Bowl Syndrome along with the Crohn's Disease, they are stopping the infusions to see if the pain is not a side effect from it. This is all I know about it so far. I hope this helps a little.",Entyvio (vedolizumab) , Crohn's Disease
504,Entyvio (vedolizumab) for Crohn's Disease,2.0,Only on my second injection migraine so bad I get nauseous ears ringing hear my heart beat in ears all the time its elevated constantly light hurts my eyes dizzy head goes black for seconds only going bathroom every three days scared to take my next dose,Entyvio (vedolizumab) , Crohn's Disease
505,Entyvio (vedolizumab) for Ulcerative Colitis,8.0,"Started Entyvio in November 2018, May 2019 began having muscle pain and fever of unknown origin. Went to emergency room in August 2019 diagnosis with Avascular Necrosis of bilateral femoral head. This type of bone disease is associated with high alcohol consumption and long term high dose steroids use. I have neither been a high consumer of alcohol nor had to use high dose steriods.  The doctor are denying its Entyvio but I'm 100% sure it has caused this avascular necrosis of bilateral femoral head . I have been on my medication regime since 2014 without any issues with the exception of my ulcerative colitis being in a flare. I'm stuck because entyvio helps for about 3 weeks.",Entyvio (vedolizumab) , Ulcerative Colitis
506,Entyvio (vedolizumab) for Crohn's Disease,6.0,"I am 67, male, 40 plus years of Crohn's Disease (CD). Several surgeries with only 5 feet of intestines remaining.  I have been taking Entyvio for about a year now.  It has worked to greatly slow the frequency and urgency of my diarrhea.  However the joint pain it caused in me has me debating whether it is worth it.  I have never had joint pain before and now I have trouble turning a door knob!",Entyvio (vedolizumab) , Crohn's Disease
507,Entyvio (vedolizumab) for Ulcerative Colitis,6.0,"3rd infusion next week of  Entyvio seems to be helping the Ulcerative colitis (UC) but the attendant proctitis is very much the same (urgency, frequency). No major side symptoms but for serious fatigue. Why was I put on Entyvio before trying another drug?",Entyvio (vedolizumab) , Ulcerative Colitis
508,Entyvio (vedolizumab) for Crohn's Disease,5.0,"Two years on it. Now having liver issues. Colon on recent colonoscopy was clear. Endoscopy showed esophageal varicies stage 1. Fiberscore Labs showed stage 4 fibrosis.  Fiberscan the same. Fatigue, general and gut pain continues. Weight is stable  but can't gain. Energy low.  May need a med break.",Entyvio (vedolizumab) , Crohn's Disease
509,Entyvio (vedolizumab) for Ulcerative Colitis,3.0,"I have tried almost every medicine there is even entyvio but one medicine that I guarantee will help you is taking suboxone. Please take my advice when you have a whole film of suboxone cut them in 4 slices take just a quarter. I guarantee u that the diarrhea, the pains and everything else will go away. Suboxone  for Ulcerative colitis has been a miracle drug for me and has helped me be on remission for about 4 years. Now I had it when I was 23 I took suboxone at the age of 24 and I have been amazed. Subozone is used to treat people with addiction but it can be a miracle drug to other sickness. Please take my advice and at least give it a try I promise u it will work better then any drug. The doctors have no idea what works because they are not rocket scientist and they don't have what we have. We on the other hand know what works n what doesn't",Entyvio (vedolizumab) , Ulcerative Colitis
510,Entyvio (vedolizumab) for Crohn's Disease,,"Just had second treatment. My treatments have been every 2 weeks. Crohns is still the same no pain relief at all. 1 hour after infusion nausea starts, diarrhea, joint and muscle pain, stomach pain, hot flashes, tired but trouble sleeping. Not sure if this is right for me",Entyvio (vedolizumab) , Crohn's Disease
511,Entyvio (vedolizumab) for Ulcerative Colitis,10.0,"After several years on Humira, I finally stopped receiving any benefit from it.  So, Entyvio was suggested.  I have been receiving Entyvio infusions for about 1.5 years.  The medicine worked right away for me and continues to be very effective.",Entyvio (vedolizumab) , Ulcerative Colitis
512,Entyvio (vedolizumab) for Crohn's Disease,3.0,"Started Entyvio in the middle of a flare up. I've had the most side effects from this one as compared to all past treatments. Frequent moderate-severe sinus headaches. Flushing, hot feeling. Took 9 months before we saw improvement but I was also on budesonide which might have been the cause of the improvement. Unfortunately it just doesn't seem worth it. I've heard better results for UC patients.",Entyvio (vedolizumab) , Crohn's Disease
513,Entyvio (vedolizumab) for Crohn's Disease,9.0,"I started Entyvio as my first biologic ever for Crohn's Disease. I was TERRIFIED of reactions and side effects. It turned out to be great. I get a headache and tired the day of the infusion and that’s it for me! After my third dose (they say the magic dose) I noticed a vast improvement in my Crohns symptoms! It also drastically decreased my CRP levels in a matter of weeks ! Unfortunately, 14 days and 9 hours after my third dose, my lips started to swell. They are thinking it’s a delayed reaction and taking me off the drug. A chance that the swelling is just an extra-intestinal manifestation of my Crohns (which entyvio does not treat because it’s gut specific) but they don’t want to risk it. I also developed antibodies (apparently no one does!) but they weren’t at a level that I would’ve needed to stop but for the lip swelling. 

I’m so sad to have to stop entyvio :( it has been great and I’m scared to start something else!",Entyvio (vedolizumab) , Crohn's Disease
514,Entyvio (vedolizumab) for Crohn's Disease,4.0,"Extreme fatigue, pain in arms and legs, headaches, constipation. Full time job trying to manage these symptoms, getting worse after 3 years of Entivyo. Crohns is under control, but no energy to live life. Doctor says this is the best choice I have. I’m alive, but not living. I may stop Entivyo and take my chances. Tried supplements, no help.",Entyvio (vedolizumab) , Crohn's Disease
515,Entyvio (vedolizumab) for Ulcerative Colitis,1.0,I’ve had ulcerative colitis for 16 years I just got my first dose of Intivio and 3 days later I had 2 seizures and Dr is denied that Intivio was the reason. Now my brain is foggy and I don’t feel normal. I will now have to go back to mesalamine   Beware and ask your Dr a lot of questions as this drug is really unproven. I know a person that had seizures after first dose of Humira and Dr also denied it had anything to do with Humira   These are similar compounds. Don’t be an experiment,Entyvio (vedolizumab) , Ulcerative Colitis
516,Entyvio (vedolizumab) for Ulcerative Colitis,,"Entyvio has worked wonders for me the entire time I’ve been taking it— I finally feel like my ulcerative colitis is under control and I can finally breathe again for the first time in years without the anxiety or worry of my condition weighing me down. The infusion itself is the most inconvenient part, but the affects of the drug of severe colitis is definitely worth the inconvenience. I love it",Entyvio (vedolizumab) , Ulcerative Colitis
517,Entyvio (vedolizumab) for Crohn's Disease,8.0,"Entyvio wears off a week or two before next infusion. I begin to get flare symptoms. I’m starting a six week infusion schedule. 

Otherwise after being on every conceivable biological, antibiotic, 5-ASA’,steroids and TNF blockers with the exception  of stelara - entivio seems to work well. Unfortunately unlike Stelara, entivio only works on my gut and not other complications from my crohns.",Entyvio (vedolizumab) , Crohn's Disease
518,Entyvio (vedolizumab) for Ulcerative Colitis,10.0,"I was on the clinical trial scheduled for 30 injections, after the second I no longer had symptoms. I was given a third injection per the trial policy. I was then told I would no longer get the injections since it worked for me. I've been in remission since my last injection. I am still taking mesalamine. It has been several months and no symptoms . Thank God.",Entyvio (vedolizumab) , Ulcerative Colitis
519,For Crohn's Disease,7.0,"Started Vedolizamab for Crohn's diease April 2020 in the midst of COVID-19 pandemic, not recommended. Had a reaction as first dose just completed, hot, flushed, hands swelling palms itchy. Was given IV Piriton then ok but sleepy that day. Next day nausea stopped (had it 2.5 years), felt better every day, energized for 10 days then bam, all came back. 2nd dose same reaction 10 mins in, IV Piriton, great for 10 days, then pain, gurgling, D&V, blacked out. Shoulder neck pain bad. 3rd dose not as bad reaction, no Piriton, but also didn't felt as good as doses 1 & 2, feet and legs so swollen, weight increase 9lbs retained fluid, bad gastritis, leg pains, eyes bad. OFG (orofacial granulomatosis) same my mouth ulcers got worse, oral swelling worse. So hope I settle down during 8 weeks before next one. The nausea though not as bad at moment, so that is good. My NHS unit swapped location to enable us to continue with meds during pandemic otherwise I would have been worse I think having to wait months for treatment.",, Crohn's Disease
520,For Crohn's Disease,1.0,"Was in remission when I began entyvio, within 90 days I began to become jaundice, it caused severe problems with my eyesight even having bile drain from tear ducts, massive bile fluid retention, changes in liver function, unexplained abscesses, acute disease progression requiring hospitalizations, corrective surgeries. Since I have discovered new safety guidelines have been released which Takeda pharmaceutical hid, and failed to inform patients or doctors that fistulizing patients are NOT suitable candidates for this drug, and as of Dec 2016, the maker and the FDA have not made this information public as company stock would plummet. 
This drug is extremely dangerous and was fast tracked by the FDA due to the companies financial crisis..",, Crohn's Disease
521,Entyvio (vedolizumab) for Crohn's Disease,5.0,"I have been on Entivyo for 1 year. I get horrible headaches for about a week after infusion.  I have had Crohn's for 35 years, been on every medication and I don't know if I should continue on it. I've had 4 bowel surgeries and my poor body is still in pain and sick everyday. I fight through and try to stay positive but the headaches are really tough. Anyone else have headaches?",Entyvio (vedolizumab) , Crohn's Disease
522,Entyvio (vedolizumab) for Ulcerative Colitis,4.0,"I have received my first three infusions and my hair is falling out so badly. I have lost at least half my hair. I use to have think beautiful curls. I was so sick before the Entyvio. It’s working but after the third infusion I experienced joint pain that made it difficult to walk, fatigue, aches that felt like the flu was setting in. Symptoms continued for two solid weeks. I just wish my hair would stop falling out. I wake up in the middle of the night thinking about it. I’m 47 and devastated that I am on my way to being bald.",Entyvio (vedolizumab) , Ulcerative Colitis
523,For Ulcerative Colitis,10.0,"10 years pancolitis.  Slipping and sliding with different drugs for years 2 to 8 - one step away from colostomy.  Consultant suggested vedolizumab, it's been amazing, almost full remission for last 2 years, no side effects - long may it last!",, Ulcerative Colitis
524,For Ulcerative Colitis,1.0,"I had the worst experience with this medication. My  ulcerative colitis (UC) symptoms improved, however after 48 hours of having the first dose I started to develop flu symptoms. By day 3 after developing symptoms my flu was severe. I had all side effects you could think of, these being: headache, high temperature/fever, loss of appetite, feeling sick, dry heaving (which severely strained my muscles and organs and made it worse trying to eat), sore throat, oral thrush, drowsiness, feeling very weak, weight loss (due to little food intake), sore sinuses, back ache, chills with high temperature, fast heart rate, bad night sweats, sleeplessness, bad cough, ankle aches when lying in bed and sore eyes. It has now been over 3 weeks since I had the first dose and I haven't had another dose since then  yet I am still suffering with a cough and back ache. My temperature still varies and gets high later in the day. From my experience with IBD infusions, all I can say is stay away from them! They do more damage than good!",, Ulcerative Colitis
525,Entyvio (vedolizumab) for Crohn's Disease,10.0,"Diagnosed with Crohn's and started Entyvio a year and a half ago. My inflammation markers have been trending down this whole time and I am now in remission. This drug works very well for controlling my Crohn's. I did not have any remarkable or lasting side effects from Entyvio until recently. After my 16th infusion I started getting a rash around my eyes, itchy eye lids, and flaking skin. The dry skin patches have now spread to around my ears and mouth. If this side effect can be managed, I will have no issue with this drug.",Entyvio (vedolizumab) , Crohn's Disease
526,Entyvio (vedolizumab) for Ulcerative Colitis,1.0,"Was diagnosed with Ulcerative Colitis (UC) 3 years ago. Put off entyvio again and again with my doctor but he kept pushing it and I finally gave in after a second hospitalization. I honestly can’t say if it helped my UC much at all. I lasted a little over a year on the infusions but wish I would have stopped it sooner.

Tons of fatigue the day of/after infusions that seemed to steadily build with time into constant extreme fatigue. Hair loss (that hasn’t returned), general autonomic/CNS symptoms - migraines, numbness, worsening insomnia, and aching all over my body. I’d lie in bed at night and feel like my brain was on fire. I’ve been off of it a year and although my doc will deny lasting symptoms from the entyvio, a lot of the neurological symptoms have remained.

Wish I hadn’t given in to my doc and stayed off of it by any means necessary. 

I was supposed to start medical school and likely won’t be able to now. Would highly advise against using it.",Entyvio (vedolizumab) , Ulcerative Colitis
527,Entyvio (vedolizumab) for Crohn's Disease,4.0,"Entyvio did help me took almost 2 years but now they won't help with insurance copay, and I cannot take it any more it is way to expensive,  I am really so angry this has happened, I never thought I could not get the meds I need",Entyvio (vedolizumab) , Crohn's Disease
528,For Crohn's Disease,9.0,"Very Good Experience with vedolizuma
Started at May 2018
and so far (OCT 2019) working fine. My Inflammation markers have dropped and I'm in the normal range. I really hope this drug continues to work for me for a long time. Do get some side effects such as mild joint main and congestion but rather get those than get freaking infections from Remicade and Humira which both only worked for a little bit. Was about to get surgery but this worked out and if this fails I've got a lot of other options.My Crohn's is Mild - Moderate",, Crohn's Disease
529,For Ulcerative Colitis,9.0,"I was severely ill from my diagnosis of ulcerative colitis, had been hospitalised 3 times in 4 months and the Drs were at a loss as to what to do.  Infliximab failed and I was on the operating list as a last resort. Then after a bowel infection, they tried Vedoolizumab and a year on I am doing well and almost have my life back!! Can’t believe the difference it’s made. Shame I didn’t have this first as could’ve avoided prolonged agony and wouldn’t have lost a year of my life trying to get to this point.",, Ulcerative Colitis
530,For Ulcerative Colitis,9.0,"I have had UC for about eight years and have been on Entyvio the past five years. I was originally on Apriso, which worked well for about a year. Budesonide was added and it made a big difference but since it's a steroid I was unable to take it indefinitely. So I started on Entyvio in the fall of 2015 and have been happy with the results. Early on, I dealt with joint pain and fatigue after my infusions. The joint pain stopped, and I feel fatigued for maybe a day afterward. The one difficulty I have is the severity of colds I get. They seem to last 3-4 weeks, I feel terrible and the stuff I cough up and blow out of my nose is beyond belief. I have allergies so a cold would typically cause problems for me but not like what I experience now.",, Ulcerative Colitis
531,For Ulcerative Colitis,6.0,"The good:
It worked incredibly well for me when I used it every four months.

The bad:
Now I don't know if this is linked to the drug for sure...but a few months after taking the drug my blood tests started coming back abnormal. Later in the year I was diagnosed with PSC (Primary sclerosing cholangitis ) a form of liver disease. Likewise there are lots of horrible side effects like sore throat, fatigue, increased joint pains, etc. Due to the weakened immune system I also got a bunch of infections, especially in hair follicles which caused severe itchiness. I also got a heart infection (pericarditis), two lots of pneumonia and an opportunistic lung infection that forced me to permanently cease use of the drug. My consultant told me if I remained on it I would die. So all of these infections are all pretty serious and life threatening. Only take this drug if you are desperate and have no other options. Bear in mind as good as the drug can be for treating the bowel, the drug could cost you your life.",, Ulcerative Colitis
532,For Crohn's Disease,1.0,"I've had Crohn's for 20 years now- worst area is the Terminal Ileum & after no response to any other therapies, I finally had to have surgery & a temporary Illeostomy that was reversed this year.  I've had 2 treatments of Entyvio so far but I'm already contemplating stopping it or pulling out of the drug trial I'm in.  The pain is excruciating, I feel like there's a pinched nerve in my shoulders (alternating between L & R randomly), my back kills, my head kills, my joints are stiff & hurt like a Mack truck hit me.  I feel overwhelmingly fatigued all day every day but can't sleep (even with sleeping aids).  And ironically I have more abdominal pain now and even less of an appetite than I did before.  My gut *pun intended* is saying this drug is not for me.  But I'm crushed because my last colonoscopy already showed disease activity 6 months post op.  This drug trial was really my last option and I don't know what to do  :(",, Crohn's Disease
533,"For Crohn's Disease, Maintenance",5.0,"Started Vedolizumab in December 2021 had two infusions and then started using the entyvio pen every two weeks started to get huge injection site reactions where my leg swelled up and was super itchy, hard as a rock and hot so was switched back to the infusions. Since this last infusion about 10 days ago I feel so tired and sleepy, have nausea every day and feel dizzy and eyes are sensitive to the daylight, don't have headaches or that but feel like a weird sensation throughout my body plus have a lot of joint pain, I feel like I'm going crazy and people think I'm a hypochondriac :( gonna see if I can change to something else because this feeling is awful was getting flares every couple of months but I dunno which is worse anyone else feeling this ?",," Crohn's Disease, Maintenance"
534,For Crohn's Disease,1.0,"I had my 2nd loading dose. It floored me, constant nausea, a weird popping sensation in my brain.  Severe muscle aches and spasms. A year later I am still the same no better. That stuff has  ruined my life. I'm now waiting in a pandemic (have no clue when I will get seen) to see a neurologist. I saw a rheumatologist and have been diagnosed with fibromyalgia which consultant has said due to vedolizumab. Many people have success. This has ruined my life.",, Crohn's Disease
535,For Crohn's Disease,10.0,"I have been on vedolizumab for 5 months. It has certainly helped me. No more pain, no more rushing to the loo all the time, not daring to go out in case of accidents. The infusions take about 2 hours and haven't caused any side effects as yet. I was very reluctant to start vedolizumab as the brochure they give you about it goes into detail about the side effects, but in the end I was strongly advised by my gastroenterologist to take it , so I stopped arguing and did, now I am so pleased that I did.",, Crohn's Disease
536,Entyvio (vedolizumab) for Ulcerative Colitis,9.0,"Had serum sickness on Remicaide due to extended gap in treatment, after failed treatment to conventional therapy. Rash and fever to Humira.
I did very well on SYMPHONI. But....insurance refused to pay for the monthly injections (Medicare/supplement) 3  doses in. So I had  fatigue, hot flashes, minimal joint pain. Good results so far. I don't like going to office for infusions when self injection was going well.
Company that produces this drug refused financial assistance. I retired from nursing after 46y in hospital setting.
X",Entyvio (vedolizumab) , Ulcerative Colitis
537,Entyvio (vedolizumab) for Crohn's Disease,9.0,Been on this for just under a year now and seems to be doing the trick.  Cimzia was no longer working and that was after remicade and humira.  Running out of options it seems but luckily this drug seems to be working well.,Entyvio (vedolizumab) , Crohn's Disease
538,For Ulcerative Colitis,7.0,"I have UC effecting my rectum and sigmoid. I have been flaring since last Christmas went on prednisolone, tacrolimis suppositories, foam enemas, pred suppositories with little effect.  I then started to react to prednisolone so tapered down as quickly as possible. I had a reaction to azathioprine so no go there.

I've had months of budesonide MMX which worked until September then stopped despite taking foam enemas and suppositories.  

I started vedolizomab 2 weeks ago and already I've halved the amount of times I go to the toilet, now able to sleep through and hardly any bleeding. So far this is my magic cure!  I've just had my second dose today.  I just feel sleep in the evening of the infusion, get leg cramps for a day or two and that's about it. Keeping my fingers crossed",, Ulcerative Colitis
539,Entyvio (vedolizumab) for Crohn's Disease,4.0,"I have been receiving Entyvio infusions for about three years for a Crohn's diagnosis of 40 plus years.
I generally feel good but am plagued by frequent bowel movements - two to five time per day. Keeping a normal weight for my height is a challenge as it is a daily struggle to eat enough to replace nutrients lost during my daily purging. My current colonoscopies show that inflammation in my small intestine is 'stable' meaning it hasn't improved or gotten worse. When I first went on Entyvio I was told my Crohn's was in remission. Now I'm questioning whether Entyvio has run its course and time to try another treatment. I would rate the effectiveness of Entyvio at about a 4. If the number of bowel movements were to improve I would rate it close to and 8 or 9.",Entyvio (vedolizumab) , Crohn's Disease
540,Entyvio (vedolizumab) for Crohn's Disease,10.0,"I’ve had Crohn’s since 1968.  I’ve been on asulfadine, prednisone, Bentyl, amitripaline, parnate, remicade.  Prednisone worked but the side effects impacted my joints.  Second surgery in 2006.  Started Imuran.  It worked ok but not great.  At my age, the doc said lymphoma potential was becoming a possibility.  So I started Entyvio.  It’s been over two years.  I have my life with no issues except getting the infusion every 8 weeks.  No side effects.  Colonoscopy after 2 years showed over 90% reduction in inflammation.  Biggest issue is losing 2 feet at the end of the small intestine resulted in needing B-12, D, E, K, and iron.  BMS down to two a day unless I have certain spices or fatty meat, or anything deep fried.
No medicine works for everyone, but this one has worked for me.",Entyvio (vedolizumab) , Crohn's Disease
541,For Ulcerative Colitis,8.0,"I have been on Entyvio for about a year and a half. It has been wonderful, as long as I follow my diet. I think it’s great. I had a colonoscopy April 30 and the results were the best that I ever had, so the drug is doing something and it’s great.",, Ulcerative Colitis
542,For Ulcerative Colitis,6.0,"Started this drug vedolizumab in June 2020 after being hospitalised due to bad flare up of Ulcrative Colitis. Was put on 40mg pred and had first vedolizumab infusion.
Came off steroids in August 20 and have been steroid free. My symptoms have improved a lot, I just get abdominal pains which I can manage. However the side effects on vedolizumab have been pretty bad, at first I had really bad join pains especially in my ankles/wrist and back, then the fatigue was really bad, still feel very tired, I have good days and bad ones. Also get random attacks of cold and runny nose. I also get strange chest tightness, had CT and x ray all fine so can only assume side effect of vedolizumab.

Although vedolizumab has helped my UC a lot, the side effects have been pretty awful. I'm just doing my best to stick it out in the hope that the side effects will wear off with time. 

My advice give it a try if nothing else has worked.",, Ulcerative Colitis
543,Entyvio (vedolizumab) for Ulcerative Colitis,1.0,"I had really thick hair, I started Entyvio, and it made my hair shed so much that I lost probably 30% of my hair. I wasn't too concerned about it at first because I used to have to get my hair thinned because I had so much hair. I stopped Entyvio 3 months ago and my hair is still thinner than it used to be and I am still shedding probably more than the average person but not nearly as bad as when I was on it. I could put my hands through my hair and see so much falling out. Entyvio stays in your system for at least a month after your last dose so I'm hoping my hair will become healthier again. I'm on Humira now so hopefully it doesn't cause it too but it's gotten MUCH BETTER being on Humira. Also Entyvio didn't work for me for UC, it only has a 40% success rate. I was on it for 6 months.",Entyvio (vedolizumab) , Ulcerative Colitis
